@relation 'admission_stats-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R1-2,13'

@attribute famincome numeric
@attribute SATCRDG numeric
@attribute SATMATH numeric
@attribute SATWRTG numeric
@attribute SATTotal numeric
@attribute HSGPA numeric
@attribute ACTRead numeric
@attribute ACTMath numeric
@attribute ACTEngWrit numeric
@attribute APIScore numeric
@attribute HSGPAunweighted numeric
@attribute Firststyrunitsforgpa numeric
@attribute Firststyeartotcumunits numeric
@attribute Firstyrcumgpa {0,1,2,3,4}

@data
0.22,0.642857,0.732143,0.616667,0.66,0.742424,0.057413,0.055889,0.054853,1,0.714286,0.526316,0.281046,1
0.15,0.642857,0.714286,0.816667,0.733333,0.753788,0.057413,0.055889,0.054853,1,0.709821,0.486842,0.392157,1
0.032,0.428571,0.410714,0.45,0.393333,0.640152,0.057413,0.055889,0.054853,0.888889,0.633929,0.460526,0.379085,1
0.085343,0.589286,0.642857,0.733333,0.653333,0.772727,0.458115,0.782804,0.671487,0.888889,0.732143,0.552632,0.45098,1
0.15,0.660714,0.767857,0.866667,0.78,0.643939,0.057413,0.055889,0.054853,0.666667,0.669643,0.578947,0.51634,1
0.005,0.696429,0.696429,0.616667,0.666667,0.863636,0.057413,0.055889,0.054853,0.888889,0.897321,0.460526,0.359477,1
0.023,0.535714,0.607143,0.566667,0.553333,0.69697,0.494241,0.565608,0.379475,0.444444,0.776786,0.526316,0.281046,1
0.083329,0.803571,0.767857,0.733333,0.78,0.890152,0.927749,0.638006,0.671487,0.542892,0.946429,0.526316,0.359477,1
0.094542,0.5,0.589286,0.533333,0.52,0.757576,0.057413,0.055889,0.054853,1,0.861607,0.526316,0.281046,1
0.143836,0.732143,0.767857,0.766667,0.766667,0.893939,0.927749,0.855203,0.780991,0.666667,0.90625,0.5,0.424837,1
0.266,0.660714,0.410714,0.733333,0.593333,0.57197,0.057413,0.055889,0.054853,0.333333,0.553571,0.394737,0.281046,1
0.12,0.785714,0.821429,0.683333,0.773333,0.753788,0.710995,0.710405,0.379475,0.777778,0.84375,0.578947,0.359477,1
0.021914,0.490448,0.518448,0.531311,0.489179,0.795455,0.42199,0.384611,0.452478,0.222222,0.9375,0.394737,0.281046,1
0.15,0.714286,0.732143,0.816667,0.766667,0.719697,0.855497,0.746604,0.817493,1,0.700893,0.539474,0.54902,1
0.2,0.490448,0.518448,0.531311,0.489179,0.799242,0.566492,0.746604,0.671487,0.777778,0.794643,0.486842,0.372549,1
0.094542,0.785714,0.553571,0.616667,0.646667,0.765152,0.057413,0.055889,0.054853,0.777778,0.785714,0.526316,0.51634,1
0.4,0.678571,0.625,0.733333,0.68,0.791667,0.057413,0.055889,0.054853,0.777778,0.754464,0.526316,0.333333,1
0.1,0.5,0.410714,0.5,0.44,0.518939,0.057413,0.055889,0.054853,0.542892,0.571429,0.526316,0.300654,1
0.118,0.490448,0.518448,0.531311,0.489179,0.613636,0.819372,0.710405,0.525481,1,0.620536,0.592105,0.470588,1
0.080527,0.839286,0.714286,0.866667,0.826667,0.621212,0.819372,0.819003,0.963499,1,0.571429,0.407895,0.48366,1
0.085,0.267857,0.392857,0.383333,0.3,0.659091,0.057413,0.055889,0.054853,0.888889,0.700893,0.578947,0.30719,1
0.043,0.490448,0.518448,0.531311,0.489179,0.587121,0.313613,0.384611,0.26997,0.444444,0.691964,0.302632,0.27451,1
0.12,0.490448,0.518448,0.531311,0.489179,0.810606,0.602618,0.45701,0.488979,0.777778,0.870536,0.5,0.372549,1
0.165,0.821429,0.553571,0.866667,0.76,0.833333,0.819372,0.710405,0.671487,0.777778,0.879464,0.394737,0.431373,1
0.104,0.428571,0.696429,0.683333,0.593333,0.746212,0.057413,0.055889,0.054853,0.666667,0.741071,0.578947,0.444444,1
0.09,0.482143,0.464286,0.416667,0.42,0.57197,0.057413,0.055889,0.054853,0.666667,0.674107,0.513158,0.27451,1
0.662929,0.767857,0.767857,0.733333,0.766667,0.795455,0.057413,0.055889,0.054853,0.542892,0.776786,0.460526,0.352941,1
0.055,0.321429,0.125,0.433333,0.24,0.742424,0.42199,0.239813,0.196967,0,0.714286,0.526316,0.339869,1
0.094542,0.642857,0.446429,0.766667,0.613333,0.80303,0.057413,0.055889,0.054853,0.542892,0.84375,0.407895,0.30719,1
0.074,0.607143,0.553571,0.616667,0.58,0.882576,0.566492,0.565608,0.561982,0.666667,0.955357,0.526316,0.418301,1
0.045,0.464286,0.303571,0.466667,0.373333,0.715909,0.494241,0.312212,0.561982,0.111111,0.705357,0.460526,0.333333,1
0.25,0.410714,0.589286,0.25,0.373333,0.829545,0.057413,0.055889,0.054853,0.444444,0.816964,0.460526,0.359477,1
0.173476,0.5,0.607143,0.75,0.613333,0.715909,0.602618,0.601807,0.634985,0.444444,0.665179,0.460526,0.267974,1
0.12,0.803571,0.678571,0.833333,0.786667,0.795455,0.057413,0.055889,0.054853,0.777778,0.857143,0.394737,0.372549,1
0.12,0.678571,0.714286,0.583333,0.653333,0.814394,0.385864,0.674206,0.598484,1,0.959821,0.578947,0.437908,1
0.045,0.625,0.589286,0.683333,0.626667,0.689394,0.566492,0.601807,0.671487,0.542892,0.776786,0.526316,0.333333,1
0.05,0.107143,0.553571,0.35,0.286667,0.659091,0.057413,0.055889,0.054853,0.542892,0.776786,0.394737,0.356209,1
0.046,0.678571,0.517857,0.516667,0.553333,0.848485,0.855497,0.601807,0.780991,0.111111,0.799107,0.526316,0.385621,1
0.078,0.660714,0.785714,0.7,0.72,0.742424,0.057413,0.055889,0.054853,1,0.754464,0.526316,0.464052,1
